序号,物料名称,型号规格,数量,单位,单价(元),总价(元),备注
1,主控板,树莓派4B 4GB,1,片,450,450,不超频，全局主控
2,协处理芯片,Pico2 RP2350A QFN60,2,片,80,160,240MHz超频上限
3,终端芯片,Pico RP2040 QFN56,16,片,35,560,200MHz超频上限
4,接口母座,PCIe x16 母座,2,个,15,30,物理隔离，错位防呆
5,显示屏,0.96寸OLED I2C 128×64,1,个,25,25,本地交互
6,指示灯,0805三色LED套件,1,套,5,5,绿/蓝/红状态指示
7,转接卡指示灯,0805 LED红/绿,2,套,3,6,PCIe转接卡防呆指示
8,按键,自锁开关×3 + 轻触十字键×4,1,套,20,20,防误触，防抖
9,电池,7.4V 10000mAh聚合物锂电池,1,块,120,120,内置供电，带BMS
10,电源管理芯片,IP5328P,1,片,8,8,充放电管理，PD快充
11,降压模块,MP1584,1,个,12,12,外部DC降压
12,非易失存储,FRAM FM24CL04,1,片,15,15,掉电配置保护
13,本地存储,64GB eMMC模块,1,个,80,80,数据存储
14,LDO稳压芯片,RT9193-3.3V,18,片,2,36,16片Pico+2片Pico2供电
15,导热材料,1.5mm导热硅胶垫 12W/m·K,1,套,30,30,芯片散热
16,均热板,120×80×1mm 6061铝合金,1,片,50,50,全域均温
17,隔热棉,2mm厚隔热棉 0.03W/m·K,1,套,15,15,热隔离
18,设备外壳,180×120×65mm 6061铝合金,1,个,150,150,磨砂阳极氧化
19,展示箱,320×240×100mm 航空铝,1,个,200,200,带提手+密码锁
20,亚克力面板,5mm高透防刮亚克力,1,块,40,40,丝印+镂空
21,防震材料,2mm EVA泡棉,1,套,10,10,展示箱内部固定
22,被动元器件,电阻/电容/二极管/三极管套件,1,套,50,50,最小系统电路
23,接插件,弹簧端子/排针/杜邦线套件,1,套,30,30,转接卡与内部接线
24,PCB板,主控板PCB 4层,1,片,100,100,树莓派扩展板
25,PCB板,Pico转接卡PCB 2层,16,片,20,320,终端芯片载体
26,PCB板,Pico2转接卡PCB 2层,2,片,25,50,协处理器载体
27,USB线缆,USB-C to USB-A 1m,2,根,10,20,数据通信
28,电源适配器,12V 3A DC适配器,1,个,30,30,外部供电
29,散热风扇,40×40×10mm 5V风扇,1,个,15,15,辅助散热
30,温度传感器,DS18B20,1,个,10,10,外部温度监测
31,ADC前端,运算放大器LM358,8,片,5,40,模拟信号调理
32,ADC前端,电压基准TL431,8,片,3,24,ADC参考电压
33,数字缓冲,74HC245缓冲器,16,片,2,32,数字信号缓冲
34,电平转换,74LVC245电平转换,8,片,3,24,5V/3.3V转换
35,测试探头,SMA接头,64,个,5,320,模拟输入接口
36,测试探头,BNC接头,128,个,3,384,数字输入接口
37,连接线缆,SMA同轴线 1m,64,根,8,512,模拟信号线
38,连接线缆,BNC同轴线 1m,128,根,6,768,数字信号线
39,测试夹,鳄鱼夹,64,个,2,128,信号接入
40,接地线,接地弹簧线 1m,1,根,5,5,系统接地

总计,,,-,-,-,4514,物料总成本

备注:
1. 价格为参考价格，实际采购可能有波动
2. PCB板需要定制生产
3. 外壳和展示箱需要定制加工
4. 部分元器件可批量采购降低成本
5. 总成本约4500元，不含人工成本
